team_id,year,lg,champion
1610612743,2023,NBA,Denver Nuggets
1610612744,2022,NBA,Golden State Warriors
1610612749,2021,NBA,Milwaukee Bucks
1610612747,2020,NBA,Los Angeles Lakers
1610612761,2019,NBA,Toronto Raptors
1610612744,2018,NBA,Golden State Warriors
1610612744,2017,NBA,Golden State Warriors
1610612739,2016,NBA,Cleveland Cavaliers
1610612744,2015,NBA,Golden State Warriors
1610612759,2014,NBA,San Antonio Spurs
1610612748,2013,NBA,Miami Heat
1610612748,2012,NBA,Miami Heat
1610612742,2011,NBA,Dallas Mavericks
1610612747,2010,NBA,Los Angeles Lakers
1610612747,2009,NBA,Los Angeles Lakers
1610612738,2008,NBA,Boston Celtics
1610612759,2007,NBA,San Antonio Spurs
1610612748,2006,NBA,Miami Heat
1610612759,2005,NBA,San Antonio Spurs
1610612765,2004,NBA,Detroit Pistons
1610612759,2003,NBA,San Antonio Spurs
1610612747,2002,NBA,Los Angeles Lakers
1610612747,2001,NBA,Los Angeles Lakers
1610612747,2000,NBA,Los Angeles Lakers
1610612759,1999,NBA,San Antonio Spurs
1610612741,1998,NBA,Chicago Bulls
1610612741,1997,NBA,Chicago Bulls
1610612741,1996,NBA,Chicago Bulls
1610612745,1995,NBA,Houston Rockets
1610612745,1994,NBA,Houston Rockets
1610612741,1993,NBA,Chicago Bulls
1610612741,1992,NBA,Chicago Bulls
1610612741,1991,NBA,Chicago Bulls
1610612765,1990,NBA,Detroit Pistons
1610612765,1989,NBA,Detroit Pistons
1610612747,1988,NBA,Los Angeles Lakers
1610612747,1987,NBA,Los Angeles Lakers
1610612738,1986,NBA,Boston Celtics
1610612747,1985,NBA,Los Angeles Lakers
1610612738,1984,NBA,Boston Celtics
1610612755,1983,NBA,Philadelphia 76ers
1610612747,1982,NBA,Los Angeles Lakers
1610612738,1981,NBA,Boston Celtics
1610612747,1980,NBA,Los Angeles Lakers
1610612760,1979,NBA,Seattle SuperSonics
1610612764,1978,NBA,Washington Bullets
1610612757,1977,NBA,Portland Trail Blazers
1610612738,1976,NBA,Boston Celtics
1610612751,1976,ABA,New York Nets
1610612744,1975,NBA,Golden State Warriors
1610612738,1974,NBA,Boston Celtics
1610612751,1974,ABA,New York Nets
1610612752,1973,NBA,New York Knicks
1610612754,1973,ABA,Indiana Pacers
1610612747,1972,NBA,Los Angeles Lakers
1610612754,1972,ABA,Indiana Pacers
1610612749,1971,NBA,Milwaukee Bucks
1610612752,1970,NBA,New York Knicks
1610612754,1970,ABA,Indiana Pacers
1610612738,1969,NBA,Boston Celtics
1610612738,1968,NBA,Boston Celtics
1610612755,1967,NBA,Philadelphia 76ers
1610612738,1966,NBA,Boston Celtics
1610612738,1965,NBA,Boston Celtics
1610612738,1964,NBA,Boston Celtics
1610612738,1963,NBA,Boston Celtics
1610612738,1962,NBA,Boston Celtics
1610612738,1961,NBA,Boston Celtics
1610612738,1960,NBA,Boston Celtics
1610612738,1959,NBA,Boston Celtics
1610612737,1958,NBA,St. Louis Hawks
1610612738,1957,NBA,Boston Celtics
1610612744,1956,NBA,Philadelphia Warriors
1610612755,1955,NBA,Syracuse Nationals
1610612747,1954,NBA,Minneapolis Lakers
1610612747,1953,NBA,Minneapolis Lakers
1610612747,1952,NBA,Minneapolis Lakers
1610612758,1951,NBA,Rochester Royals
1610612747,1950,NBA,Minneapolis Lakers
1610612747,1949,BAA,Minneapolis Lakers
1610612764,1948,BAA,Baltimore Bullets
1610612744,1947,BAA,Philadelphia Warriors
