Year,Lg,Champion
2023.0,NBA,Denver Nuggets
2022.0,NBA,Golden State Warriors
2021.0,NBA,Milwaukee Bucks
2020.0,NBA,Los Angeles Lakers
2019.0,NBA,Toronto Raptors
2018.0,NBA,Golden State Warriors
2017.0,NBA,Golden State Warriors
2016.0,NBA,Cleveland Cavaliers
2015.0,NBA,Golden State Warriors
2014.0,NBA,San Antonio Spurs
2013.0,NBA,Miami Heat
2012.0,NBA,Miami Heat
2011.0,NBA,Dallas Mavericks
2010.0,NBA,Los Angeles Lakers
2009.0,NBA,Los Angeles Lakers
2008.0,NBA,Boston Celtics
2007.0,NBA,San Antonio Spurs
2006.0,NBA,Miami Heat
2005.0,NBA,San Antonio Spurs
2004.0,NBA,Detroit Pistons
,,
2003.0,NBA,San Antonio Spurs
2002.0,NBA,Los Angeles Lakers
2001.0,NBA,Los Angeles Lakers
2000.0,NBA,Los Angeles Lakers
1999.0,NBA,San Antonio Spurs
1998.0,NBA,Chicago Bulls
1997.0,NBA,Chicago Bulls
1996.0,NBA,Chicago Bulls
1995.0,NBA,Houston Rockets
1994.0,NBA,Houston Rockets
1993.0,NBA,Chicago Bulls
1992.0,NBA,Chicago Bulls
1991.0,NBA,Chicago Bulls
1990.0,NBA,Detroit Pistons
1989.0,NBA,Detroit Pistons
1988.0,NBA,Los Angeles Lakers
1987.0,NBA,Los Angeles Lakers
1986.0,NBA,Boston Celtics
1985.0,NBA,Los Angeles Lakers
1984.0,NBA,Boston Celtics
,,
1983.0,NBA,Philadelphia 76ers
1982.0,NBA,Los Angeles Lakers
1981.0,NBA,Boston Celtics
1980.0,NBA,Los Angeles Lakers
1979.0,NBA,Seattle SuperSonics
1978.0,NBA,Washington Bullets
1977.0,NBA,Portland Trail Blazers
1976.0,NBA,Boston Celtics
1976.0,ABA,New York Nets
1975.0,NBA,Golden State Warriors
1975.0,ABA,Kentucky Colonels
1974.0,NBA,Boston Celtics
1974.0,ABA,New York Nets
1973.0,NBA,New York Knicks
1973.0,ABA,Indiana Pacers
1972.0,NBA,Los Angeles Lakers
1972.0,ABA,Indiana Pacers
1971.0,NBA,Milwaukee Bucks
1971.0,ABA,Utah Stars
1970.0,NBA,New York Knicks
,,
1970.0,ABA,Indiana Pacers
1969.0,NBA,Boston Celtics
1969.0,ABA,Oakland Oaks
1968.0,NBA,Boston Celtics
1968.0,ABA,Pittsburgh Pipers
1967.0,NBA,Philadelphia 76ers
1966.0,NBA,Boston Celtics
1965.0,NBA,Boston Celtics
1964.0,NBA,Boston Celtics
1963.0,NBA,Boston Celtics
1962.0,NBA,Boston Celtics
1961.0,NBA,Boston Celtics
1960.0,NBA,Boston Celtics
1959.0,NBA,Boston Celtics
1958.0,NBA,St. Louis Hawks
1957.0,NBA,Boston Celtics
1956.0,NBA,Philadelphia Warriors
1955.0,NBA,Syracuse Nationals
1954.0,NBA,Minneapolis Lakers
1953.0,NBA,Minneapolis Lakers
,,
1952.0,NBA,Minneapolis Lakers
1951.0,NBA,Rochester Royals
1950.0,NBA,Minneapolis Lakers
1949.0,BAA,Minneapolis Lakers
1948.0,BAA,Baltimore Bullets
1947.0,BAA,Philadelphia Warriors
